Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,Round,Overall,player_id
Antonio Gibson,24.0,RB,6-2,220,23.0,East Central CC; Memphis,16.0,14.0,33,,,1377
Garrett Gilbert,19.0,QB,6-4,230,30.0,Texas; Southern Methodist,1.0,1.0,33,,,1378
De'Jon Harris,45.0,LB,6-0,245,24.0,Arkansas,5.0,0.0,33,,,1379
D.J. Hayden,25.0,CB,5-11,190,31.0,Navarro JC; Houston,1.0,0.0,33,,,1380
Taylor Heinicke,4.0,QB,6-1,210,28.0,Old Dominion,16.0,15.0,33,,,1381
Temarrick Hemingway,88.0,TE,6-5,246,28.0,South Carolina State,2.0,1.0,33,,,1382
Cole Holcomb,55.0,LOLB,6-1,235,25.0,North Carolina,16.0,16.0,33,,,1383
Dustin Hopkins,3.0,K,6-2,203,31.0,Florida State,6.0,0.0,33,,,1384
Khaleke Hudson,47.0,ROLB-MLB,6-0,220,24.0,Michigan,12.0,1.0,33,,,1385
Adam Humphries,13.0,WR,5-11,195,28.0,Clemson,17.0,11.0,33,,,1386
Matt Ioannidis,98.0,NT,6-3,306,27.0,Temple,16.0,6.0,33,,,1387
Keith Ismael,60.0,C,6-3,310,23.0,San Diego State,10.0,5.0,33,,,1388
William Jackson,23.0,RCB,6-0,191,29.0,Trinity Valley CC; Houston,12.0,12.0,33,,,1389
Brian Johnson,16.0,K,6-1,185,22.0,Virginia Tech,3.0,0.0,33,,,1390
Danny Johnson,36.0,RCB,5-10,194,26.0,Southern University,12.0,1.0,33,,,1391
Jordan Kunaszyk,59.0,MLB,6-3,235,25.0,American River JC; California,11.0,0.0,33,,,1392
Tyler Larsen,69.0,C,6-4,328,30.0,Utah State,7.0,3.0,33,,,1393
Charles Leno,72.0,LOT,6-3,303,30.0,Boise State,17.0,17.0,33,,,1394
Cornelius Lucas,78.0,ROT-LOT,6-9,329,30.0,Kansas State,16.0,7.0,33,,,1395
David Mayo,51.0,MLB-LOB-ROLB,6-2,244,28.0,Santa Monica JC; Texas State,16.0,4.0,33,,,1396
Bobby McCain,20.0,FS,5-11,193,28.0,Memphis,17.0,16.0,33,,,1397
J.D. McKissic,41.0,RB,5-10,192,28.0,Arkansas State,11.0,3.0,33,,,1398
